  
       XFOIL         Version 6.99
  
 Calculated polar for: NREL's S826 Airfoil                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   3.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   7.000   1.3192   0.01731   0.00899  -0.1466   0.0986   0.5128
   7.100   1.3259   0.01753   0.00921  -0.1459   0.0934   0.5142
   7.200   1.3329   0.01774   0.00942  -0.1452   0.0889   0.5156
   7.300   1.3394   0.01798   0.00965  -0.1445   0.0839   0.5169
   7.400   1.3460   0.01821   0.00987  -0.1438   0.0792   0.5182
   7.500   1.3523   0.01845   0.01011  -0.1430   0.0746   0.5196
   7.600   1.3589   0.01868   0.01035  -0.1423   0.0704   0.5211
   7.700   1.3650   0.01894   0.01060  -0.1416   0.0661   0.5226
   7.800   1.3715   0.01918   0.01084  -0.1408   0.0625   0.5241
   7.900   1.3777   0.01942   0.01109  -0.1401   0.0589   0.5257
   8.100   1.3894   0.01997   0.01163  -0.1385   0.0511   0.5286
   8.200   1.3947   0.02027   0.01193  -0.1376   0.0472   0.5302
   8.300   1.4002   0.02056   0.01222  -0.1368   0.0433   0.5321
   8.400   1.4054   0.02088   0.01253  -0.1359   0.0400   0.5337
   8.500   1.4110   0.02117   0.01283  -0.1351   0.0369   0.5357
   8.600   1.4160   0.02149   0.01315  -0.1342   0.0341   0.5373
   8.700   1.4217   0.02178   0.01346  -0.1335   0.0317   0.5391
   8.800   1.4271   0.02209   0.01379  -0.1327   0.0296   0.5408
   8.900   1.4325   0.02240   0.01411  -0.1319   0.0278   0.5427
   9.000   1.4380   0.02270   0.01443  -0.1311   0.0260   0.5445
