  
       XFOIL         Version 6.99
  
 Calculated polar for: NREL's S826 Airfoil                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.075 e 6     Ncrit =   3.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.3941   0.17483   0.16832  -0.0334   1.0000   0.0140
 -14.500  -0.3855   0.16852   0.16205  -0.0351   1.0000   0.0132
 -14.000  -0.3771   0.16242   0.15601  -0.0365   1.0000   0.0130
 -13.500  -0.3706   0.15597   0.14964  -0.0381   1.0000   0.0132
 -13.000  -0.3666   0.14909   0.14283  -0.0398   1.0000   0.0134
 -12.500  -0.3612   0.14271   0.13652  -0.0410   1.0000   0.0133
 -12.000  -0.3582   0.13586   0.12975  -0.0423   1.0000   0.0133
 -11.500  -0.3574   0.12860   0.12260  -0.0436   1.0000   0.0134
 -11.000  -0.3570   0.12171   0.11581  -0.0446   1.0000   0.0133
 -10.500  -0.3597   0.11443   0.10864  -0.0456   1.0000   0.0132
 -10.000  -0.3652   0.10708   0.10142  -0.0465   1.0000   0.0130
  -9.500  -0.3755   0.09921   0.09371  -0.0476   1.0000   0.0129
  -9.000  -0.3778   0.08826   0.08285  -0.0543   0.9955   0.0127
  -8.500  -0.3837   0.07327   0.06783  -0.0684   0.9830   0.0124
  -8.000  -0.4001   0.06070   0.05500  -0.0822   0.9616   0.0122
  -7.500  -0.3926   0.04972   0.04339  -0.0942   0.9361   0.0122
  -7.000  -0.3589   0.04080   0.03354  -0.1010   0.9163   0.0126
  -6.500  -0.3103   0.03491   0.02683  -0.1044   0.8993   0.0143
  -6.000  -0.2563   0.03061   0.02185  -0.1050   0.8851   0.0165
  -5.500  -0.2066   0.02829   0.01930  -0.1039   0.8684   0.0201
  -5.000  -0.1511   0.02648   0.01730  -0.1040   0.8534   0.0257
  -4.500  -0.0855   0.02444   0.01498  -0.1080   0.8367   0.0373
  -4.000  -0.0038   0.02199   0.01230  -0.1164   0.8225   0.0697
  -3.500   0.0846   0.01957   0.01096  -0.1267   0.8079   0.4132
  -3.000   0.1535   0.02015   0.01107  -0.1285   0.7905   0.4700
  -2.500   0.2224   0.02001   0.01044  -0.1311   0.7725   0.4846
  -2.000   0.2910   0.01967   0.00967  -0.1339   0.7550   0.4891
  -1.500   0.3580   0.01940   0.00900  -0.1366   0.7376   0.4948
  -1.000   0.4209   0.01931   0.00865  -0.1383   0.7210   0.4995
  -0.500   0.4843   0.01926   0.00834  -0.1403   0.7055   0.5058
  -0.000   0.5452   0.01932   0.00826  -0.1416   0.6914   0.5111
   0.500   0.6051   0.01943   0.00827  -0.1429   0.6778   0.5176
   1.000   0.6640   0.01960   0.00842  -0.1439   0.6654   0.5240
   1.500   0.7227   0.01983   0.00864  -0.1449   0.6540   0.5305
   2.000   0.7814   0.02010   0.00896  -0.1460   0.6432   0.5382
   2.500   0.8381   0.02044   0.00942  -0.1466   0.6330   0.5452
   3.000   0.8944   0.02082   0.00996  -0.1471   0.6232   0.5530
   3.500   0.9499   0.02125   0.01058  -0.1475   0.6134   0.5616
   4.000   1.0039   0.02174   0.01130  -0.1476   0.6028   0.5709
   4.500   1.0554   0.02226   0.01211  -0.1471   0.5899   0.5803
   5.000   1.1058   0.02275   0.01289  -0.1463   0.5741   0.5907
   5.500   1.1511   0.02325   0.01368  -0.1445   0.5522   0.6017
   6.000   1.1921   0.02382   0.01458  -0.1419   0.5256   0.6139
   6.500   1.2300   0.02446   0.01556  -0.1387   0.4950   0.6269
   7.000   1.2617   0.02526   0.01670  -0.1346   0.4546   0.6415
   7.500   1.2848   0.02630   0.01789  -0.1291   0.3870   0.6581
