  
       XFOIL         Version 6.99
  
 Calculated polar for: NREL's S826 Airfoil                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.030 e 6     Ncrit =   3.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.3964   0.17914   0.16884  -0.0359   1.0000   0.0354
 -14.500  -0.3858   0.17321   0.16300  -0.0374   1.0000   0.0340
 -14.000  -0.3772   0.16717   0.15706  -0.0390   1.0000   0.0328
 -13.500  -0.3703   0.16098   0.15098  -0.0407   1.0000   0.0318
 -13.000  -0.3646   0.15465   0.14476  -0.0423   1.0000   0.0314
 -12.500  -0.3596   0.14828   0.13850  -0.0438   1.0000   0.0312
 -12.000  -0.3555   0.14178   0.13214  -0.0451   1.0000   0.0313
 -11.500  -0.3522   0.13529   0.12578  -0.0462   1.0000   0.0318
 -11.000  -0.3514   0.12850   0.11914  -0.0474   1.0000   0.0318
 -10.500  -0.3529   0.12153   0.11234  -0.0485   1.0000   0.0319
 -10.000  -0.3574   0.11424   0.10524  -0.0498   1.0000   0.0317
  -9.500  -0.3659   0.10655   0.09777  -0.0511   1.0000   0.0315
  -9.000  -0.3802   0.09839   0.08983  -0.0527   1.0000   0.0312
  -8.500  -0.4053   0.09010   0.08175  -0.0541   1.0000   0.0308
  -8.000  -0.4420   0.08289   0.07466  -0.0538   1.0000   0.0303
  -7.500  -0.4683   0.07594   0.06773  -0.0551   1.0000   0.0301
  -7.000  -0.4625   0.06632   0.05769  -0.0642   0.9901   0.0307
  -6.500  -0.4208   0.05809   0.04875  -0.0736   0.9728   0.0330
  -6.000  -0.3708   0.05102   0.04057  -0.0791   0.9562   0.0363
  -5.500  -0.3205   0.04663   0.03558  -0.0804   0.9393   0.0415
  -5.000  -0.2724   0.04341   0.03188  -0.0797   0.9215   0.0492
  -4.500  -0.2242   0.04080   0.02890  -0.0793   0.9029   0.0616
  -4.000  -0.1689   0.03782   0.02585  -0.0829   0.8846   0.0857
  -3.000  -0.0576   0.03683   0.02592  -0.0855   0.8473   0.5253
  -2.500   0.0001   0.03681   0.02509  -0.0858   0.8309   0.5508
  -2.000   0.0642   0.03613   0.02363  -0.0894   0.8144   0.5558
  -1.500   0.1340   0.03548   0.02233  -0.0940   0.8005   0.5615
  -1.000   0.1963   0.03519   0.02153  -0.0970   0.7850   0.5676
  -0.500   0.2605   0.03499   0.02092  -0.1002   0.7713   0.5743
  -0.000   0.3267   0.03490   0.02048  -0.1038   0.7586   0.5820
   0.500   0.3891   0.03498   0.02034  -0.1062   0.7463   0.5896
   1.000   0.4453   0.03540   0.02062  -0.1080   0.7326   0.5976
   1.500   0.5024   0.03591   0.02107  -0.1098   0.7200   0.6066
   2.000   0.5584   0.03656   0.02172  -0.1114   0.7078   0.6162
   2.500   0.6129   0.03735   0.02258  -0.1128   0.6959   0.6265
   3.000   0.6651   0.03829   0.02366  -0.1137   0.6842   0.6375
